location,latitude,longitude,location_original
"Redmond, Washington",47.6694141,-122.1238767,"Redmond, WA"
"San Mateo, California",37.496904,-122.3330573,"San Mateo, CA"
"Chevy Chase, Maryland",38.9813699,-77.0849245,"Chevy Chase, MD"
"Hanover, Maryland",39.1928853,-76.7241371,"Hanover, MD"
"Salt Lake City, Utah",40.7596198,-111.886797,"Salt Lake City, UT"
"Columbia, Maryland",39.1938429,-76.86460919353361,"Columbia, MD"
"San Diego, California",32.7174202,-117.1627728,"San Diego, CA"
"Columbus, Ohio",39.9622601,-83.0007065,"Columbus, OH"
"Durham, North Carolina",35.996653,-78.9018053,"Durham, NC"
"Sacramento, California",38.5810606,-121.493895,"Sacramento, CA"
"Rockville, Maryland",39.0817985,-77.1516844,"Rockville, MD"
"Takoma Park, Maryland",38.9778882,-77.0074765,"Takoma Park, MD"
"Beltsville, Maryland",39.039773499999995,-76.92718505662606,"Beltsville, MD"
"Topeka, Kansas",39.049011,-95.677556,"Topeka, KS"
"Bethune, South Carolina",34.4147965,-80.3486166,"Bethune, SC"
"Fremont, California",37.5482697,-121.988571,"Fremont, CA"
"Edison, New Jersey",40.518157,-74.4113926,"Edison, NJ"
"Wilmington, Delaware",39.7459468,-75.546589,"Wilmington, DE"
"Moline, Illinois",41.5058344,-90.5136642,"Moline, IL"
"Manassas, Virginia",38.7509488,-77.4752667,"Manassas, VA"
"Springfield, Virginia",38.7767435,-77.1807019310668,"Springfield, VA"
"Ruston, Louisiana",32.5232053,-92.637927,"Ruston, LA"
"Culver City, California",34.0211224,-118.396466,"Culver City, CA"
"Honolulu, Hawaii",21.304547,-157.855676,"Honolulu, HI"
"Covington, Kentucky",39.0836224,-84.508371,"Covington, KY"
"Chantilly, Virginia",38.8788355,-77.40221718011088,"Chantilly, VA"
"Mesquite, Texas",32.7666103,-96.599472,"Mesquite, TX"
"Montreal, Missouri",37.9689254,-92.5921247,"Montreal, MO"
"Colorado Springs, Colorado",38.8339578,-104.825348,"Colorado Springs, CO"
"Beatrice, Nebraska",40.266429,-96.747369,"Beatrice, NE"
"Suffolk, Virginia",36.7282096,-76.5835703,"Suffolk, VA"
"Olathe, Kansas",38.8838856,-94.81887,"Olathe, KS"
"Milpitas, California",37.4332273,-121.8989248,"Milpitas, CA"
"Miami, Florida",25.7741728,-80.19362,"Miami, FL"
"West Columbia, South Carolina",33.9934867,-81.0739826,"West Columbia, SC"
"Waltham, Massachusetts",42.3756401,-71.2358004,"Waltham, MA"
"Lexington, Massachusetts",42.4473175,-71.2245003,"Lexington, MA"
"Plano, Texas",33.0136764,-96.6925096,"Plano, TX"
"Schererville, Indiana",41.4789246,-87.4547605,"Schererville, IN"
"Redwood City, California",37.4863239,-122.232523,"Redwood City, CA"
"Teaneck, New Jersey",40.8860164,-74.0072568,"Teaneck, NJ"
"St Paul, Minnesota",44.9497487,-93.0931028,"St Paul, MN"
"Milwaukee, Wisconsin",43.0349931,-87.922497,"Milwaukee, WI"
"North Reading, Massachusetts",42.5750939,-71.0786653,"North Reading, MA"
"Brooklyn, New York",40.6526006,-73.9497211,"Brooklyn, NY"
"Rogers, Arkansas",36.3320197,-94.1185366,"Rogers, AR"
"Roxton, Texas",33.5462168,-95.7257949,"Roxton, TX"
"Jefferson City, Missouri",38.577359,-92.1724265,"Jefferson City, MO"
"Emeryville, California",37.8314089,-122.2865266,"Emeryville, CA"
"Grand Rapids, Michigan",42.9632405,-85.6678639,"Grand Rapids, MI"
"Bowie, Maryland",38.9424464,-76.7301718,"Bowie, MD"
"Crownsville, Maryland",39.0197327,-76.59026765175719,"Crownsville, MD"
"Minneapolis, Minnesota",44.9772995,-93.2654692,"Minneapolis, MN"
"Germantown, Maryland",39.17130815,-77.26557848822242,"Germantown, MD"
"Cincinnati, Ohio",39.1014537,-84.5124602,"Cincinnati, OH"
"College Park, Maryland",38.980666,-76.9369189,"College Park, MD"
"Marlborough, Massachusetts",42.3459271,-71.5522874,"Marlborough, MA"
"Falls Church, Virginia",38.882334,-77.1710914,"Falls Church, VA"
"Pittsburgh, Pennsylvania",40.4416941,-79.9900861,"Pittsburgh, PA"
"Madrid, Alabama",31.035862,-85.39815287941555,"Madrid, AL"
"Dayton, Ohio",39.7589478,-84.1916069,"Dayton, OH"
"Newton, Massachusetts",42.3370414,-71.2092214,"Newton, MA"
"Wheaton-Glenmont, Maryland",39.04979325,-77.05228508396917,"Wheaton-Glenmont, MD"
"Fort Belvoir, Virginia",38.72821225,-77.15098291295884,"Fort Belvoir, VA"
"Vienna, Virginia",38.9013729,-77.2651762,"Vienna, VA"
"Sterling, Virginia",39.003809849999996,-77.40832792370676,"Sterling, VA"
"Mechanicsburg, Pennsylvania",40.2101972,-77.0047276,"Mechanicsburg, PA"
"Bridgeport, West Virginia",39.2864787,-80.2561981,"Bridgeport, WV"
"Weehawken, New Jersey",40.7695457,-74.0204177,"Weehawken, NJ"
"Los Gatos, California",37.226611,-121.9746797,"Los Gatos, CA"
"White Plains, New York",41.0339862,-73.7629097,"White Plains, NY"
"Illinois City, Illinois",41.3975305,-90.8995898,"Illinois City, IL"
"Arden Hills, Minnesota",45.0761409,-93.1666945,"Arden Hills, MN"
"Trenton, New Jersey",40.2205944,-74.7597219,"Trenton, NJ"
"Houston, Texas",29.7589382,-95.3676974,"Houston, TX"
"Cary, North Carolina",35.7882893,-78.7812081,"Cary, NC"
"Deerfield, Illinois",42.1711365,-87.8445119,"Deerfield, IL"
"Evanston, Illinois",42.0447388,-87.6930459,"Evanston, IL"
"Southborough, Massachusetts",42.3056501,-71.5245087,"Southborough, MA"
"North Chicago, Illinois",42.325578,-87.8411818,"North Chicago, IL"
"Clayton, Indiana",39.6892129,-86.5224984,"Clayton, IN"
"Champaign, Illinois",40.1164841,-88.2430932,"Champaign, IL"
"Westborough, Massachusetts",42.2694308,-71.6129907,"Westborough, MA"
"Lenexa, Kansas",38.9697458,-94.7845837,"Lenexa, KS"
"Pasadena, California",34.1476452,-118.1444779,"Pasadena, CA"
"Boerne, Texas",29.7946641,-98.7319703,"Boerne, TX"
"Eagan, Minnesota",44.818173,-93.1659179,"Eagan, MN"
"Huntsville, Alabama",34.729847,-86.5859011,"Huntsville, AL"
"Bolinas, California",37.9093702,-122.6863733,"Bolinas, CA"
"Lincolnshire, Illinois",42.1900249,-87.9084039,"Lincolnshire, IL"
"Kansas City, Missouri",39.100105,-94.5781416,"Kansas City, MO"
"Edmond, Oklahoma",35.6571367,-97.4649038,"Edmond, OK"
"Woburn, Massachusetts",42.4792618,-71.1522766,"Woburn, MA"
"Dearing, Kansas",37.0586882,-95.713312,"Dearing, KS"
"Las Vegas, Nevada",36.1672559,-115.148516,"Las Vegas, NV"
"Sausalito, California",37.8590272,-122.485469,"Sausalito, CA"
"Ann Arbor, Michigan",42.2681569,-83.7312291,"Ann Arbor, MI"
"Princeton, New Jersey",40.3492744,-74.6592958,"Princeton, NJ"
"Pleasanton, California",37.6624312,-121.8746789,"Pleasanton, CA"
"Charlotte, North Carolina",35.2272086,-80.8430827,"Charlotte, NC"
"Irvine, California",33.6856969,-117.8259819,"Irvine, CA"
"Berkeley, California",37.8708393,-122.272863,"Berkeley, CA"
"Natick, Massachusetts",42.2836393,-71.346996,"Natick, MA"
"Arlington, Texas",32.7355816,-97.1071186,"Arlington, TX"
"Los Altos, California",37.3790629,-122.116578,"Los Altos, CA"
